UIN,IncidentDate,State,Location,Lat,Lon,SharkCommonName,CHL_min,CHL_max,CHL_mean,CHLAttack_min,CHLAttack_max,CHLAttack_mean,CHL_unit,CHL_days,SST_min,SST_max,SST_mean,SSTAttack_min,SSTAttack_max,SSTAttack_mean,SST_Unit,SST_days,RangeDegrees,DataDegrees,TraceDate
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.00810406543314457,5.969946384429932,0.19878881593277928,0.04405023297294974,5.446232378482819,0.26917106025751086,mg/m^3,4,21.51083638556304,27.70524745518344,25.84901428210524,22.235836369358026,26.99738803263756,25.502343886306075,°C,8,1,0.2,2014-12-20
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.017737384885549545,4.070297350486119,0.15240837270536967,0.059737300189832844,3.711451376477877,0.25288818354392634,mg/m^3,4,21.840247586276405,27.697747455351077,25.578623791460828,22.760417023580544,26.59583627190443,25.082515710081257,°C,8,1,0.2,2014-12-21
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.007924450561404228,7.407405853271484,0.1328913990133974,0.05210579186677933,1.6871439181268215,0.1810784762983745,mg/m^3,4,21.979828249104344,28.36465864852073,25.473544135126648,22.57999769356104,26.123208484053634,25.019405379496856,°C,8,1,0.2,2014-12-22
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.006777518428862095,27.159107208251953,0.11494922887074684,0.01695624738931656,1.238135814666748,0.13615906381973955,mg/m^3,4,21.757196655869507,26.76939548775556,25.342801551088417,22.540615438856207,26.381758263707184,24.989192017000295,°C,8,1,0.2,2014-12-23
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.026170043274760246,27.159107208251953,0.10679403267034711,0.04251861199736595,1.2077453136444092,0.12403736940493149,mg/m^3,4,19.23675842341038,26.856758253090106,25.207680409736998,22.540615438856207,26.381758263707184,25.056124354750818,°C,8,1,0.2,2014-12-24
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.003916713409125805,27.159107208251953,0.10394443321074619,0.032356470823287964,1.2230443954467773,0.1183030923769599,mg/m^3,4,19.24175842329862,27.710197505913698,25.315150367696702,22.540615438856207,27.360197513736807,25.63392391376874,°C,8,1,0.2,2014-12-25
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.035975340753793716,27.159107208251953,0.10108166798220361,0.05952276661992073,1.2230443954467773,0.14089873260768987,mg/m^3,4,19.690197685174667,28.116686457209312,25.72992178546491,22.540615438856207,27.45519751161339,25.672186864061164,°C,8,1,0.2,2014-12-26
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.026668988168239594,6.655133247375488,0.09994866849494727,0.05952276661992073,1.2230443954467773,0.14390907622873783,mg/m^3,4,17.5751977324486,28.116686457209312,26.12314375885345,22.76019761655482,27.45519751161339,25.839860083119273,°C,8,1,0.2,2014-12-27
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.02060076966881752,9.977511405944824,0.10236474306386951,0.06628932803869247,1.2230443954467773,0.29630095876475093,mg/m^3,4,17.5751977324486,28.116686457209312,26.229340776000143,22.76019761655482,27.45519751161339,25.892459343602315,°C,8,1,0.2,2014-12-28
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.01797923818230629,1.6534242630004883,0.2707114775832265,NA,NA,NA,mg/m^3,4,20.90168661847713,28.161686456203483,25.888827908293546,22.331686586514138,27.06812576800587,25.55673057155803,°C,8,1,0.2,2014-12-29
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.03759036958217621,5.345813751220703,0.15850352829735606,0.0753568485379219,1.6241118907928467,0.2771502012897909,mg/m^3,4,21.898125883564376,28.242074620351218,26.027638871422067,22.98707473780962,27.97207462638619,26.404318884314982,°C,8,1,0.2,2014-12-30
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.03759036958217621,19.12968647480011,0.16079751053141292,0.06983649358153343,2.0342722833156586,0.2623458107713089,mg/m^3,4,22.422074750438355,28.21207462102177,25.85221372883167,22.98707473780962,27.97207462638619,26.33736648100676,°C,8,1,0.2,2014-12-31
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.04408982489258051,13.073034524917603,0.21584935512143755,0.06983649358153343,2.0342722833156586,0.2623874116038043,mg/m^3,4,20.46480895057323,28.14480877891185,26.159390400978296,23.240003158090037,27.97844170443716,26.65451441274313,°C,8,1,0.2,2015-01-01
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.04408982489258051,13.073034524917603,0.21752585904067512,0.06983649358153343,2.0342722833156586,0.2623874116038043,mg/m^3,4,20.46480895057323,28.352074617892526,26.25659306765682,22.840941819269233,28.09094170192259,26.68684861375134,°C,8,1,0.2,2015-01-02
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.020038437098264694,19.29099202156067,0.2301988712419157,0.05073031783103943,3.2075769901275635,0.15990197524792493,mg/m^3,4,19.11980898063632,28.434808772429847,26.20012341140844,22.269808910228335,28.20980877745899,26.630547718419372,°C,8,1,0.2,2015-01-03
988,2015-01-19,NSW,"byron bay, wategos beach",-28.6333,153.6167,white shark,0.020038437098264694,9.856522262096405,0.27029701519497906,0.050986725836992264,5.464296817779541,0.6680296678900262,mg/m^3,4,19.11980898063632,28.434808772429847,26.322310825272474,22.269808910228335,27.994808782264613,26.276613806705853,°C,8,1,0.2,2015-01-04
